村里名,VILLAGE_ID,有效票的SUM,投票數的SUM,選舉人數的SUM,投票率,當選人,當選人得票數,當選人所屬黨派,PARTY_ID,次高票者,次高票得票數,次高票所屬政黨
松山區吉祥里,6300100-022,4750,4836,7196,67.2%,費鴻泰,2113,中國國民黨,1,楊實秋,2059,無
松山區新聚里,6300100-024,4545,4623,6730,68.7%,費鴻泰,1880,中國國民黨,1,楊實秋,2035,無
松山區復盛里,6300100-025,3788,3865,5420,71.3%,費鴻泰,1782,中國國民黨,1,楊實秋,1560,無
松山區中正里,6300100-026,5034,5111,7565,67.6%,費鴻泰,1954,中國國民黨,1,楊實秋,2356,無
松山區中崙里,6300100-027,2272,2316,3328,69.6%,費鴻泰,1010,中國國民黨,1,楊實秋,972,無
松山區美仁里,6300100-028,1959,1997,2818,70.9%,費鴻泰,827,中國國民黨,1,楊實秋,895,無
松山區吉仁里,6300100-029,2197,2237,3267,68.5%,費鴻泰,965,中國國民黨,1,楊實秋,957,無
松山區敦化里,6300100-030,3998,4076,5667,71.9%,費鴻泰,1657,中國國民黨,1,楊實秋,1811,無
松山區復源里,6300100-031,1811,1837,2608,70.4%,費鴻泰,859,中國國民黨,1,楊實秋,744,無
松山區復建里,6300100-032,2475,2521,3640,69.3%,費鴻泰,1171,中國國民黨,1,楊實秋,984,無
松山區復勢里,6300100-033,3485,3556,5098,69.8%,費鴻泰,1389,中國國民黨,1,楊實秋,1654,無
松山區福成里,6300100-034,1495,1516,2205,68.8%,費鴻泰,580,中國國民黨,1,楊實秋,709,無
松山區松基里,6300100-035,2045,2084,3106,67.1%,蔣萬安,917,中國國民黨,1,潘建志,788,無
信義區西村里,6300200-001,2720,2762,5178,53.3%,費鴻泰,1682,中國國民黨,1,楊實秋,794,無
信義區正和里,6300200-002,2669,2704,3894,69.4%,費鴻泰,1414,中國國民黨,1,楊實秋,948,無
信義區興隆里,6300200-003,1497,1525,2431,62.7%,費鴻泰,715,中國國民黨,1,楊實秋,597,無
信義區中興里,6300200-004,1846,1871,2941,63.6%,費鴻泰,846,中國國民黨,1,楊實秋,762,無
信義區新仁里,6300200-005,1936,1971,2896,68.1%,費鴻泰,969,中國國民黨,1,楊實秋,771,無
信義區興雅里,6300200-006,3316,3369,4989,67.5%,費鴻泰,1467,中國國民黨,1,楊實秋,1436,無
信義區敦厚里,6300200-007,2924,2979,4499,66.2%,費鴻泰,1335,中國國民黨,1,楊實秋,1182,無
信義區廣居里,6300200-008,4466,4537,6559,69.2%,費鴻泰,2055,中國國民黨,1,楊實秋,1833,無
信義區安康里,6300200-009,5408,5517,8342,66.1%,費鴻泰,2438,中國國民黨,1,楊實秋,2348,無
信義區六藝里,6300200-010,2162,2197,3123,70.3%,費鴻泰,888,中國國民黨,1,楊實秋,930,無
信義區雅祥里,6300200-011,2824,2867,4212,68.1%,費鴻泰,1097,中國國民黨,1,楊實秋,1295,無
信義區五常里,6300200-012,2160,2207,3251,67.9%,費鴻泰,933,中國國民黨,1,楊實秋,931,無
信義區五全里,6300200-013,3114,3167,4373,72.4%,費鴻泰,1197,中國國民黨,1,楊實秋,1504,無
信義區永吉里,6300200-014,2308,2372,3519,67.4%,費鴻泰,751,中國國民黨,1,楊實秋,1196,無
信義區長春里,6300200-015,2427,2483,3646,68.1%,費鴻泰,984,中國國民黨,1,楊實秋,1067,無
信義區四育里,6300200-016,3391,3457,4920,70.3%,費鴻泰,1311,中國國民黨,1,楊實秋,1626,無
信義區四維里,6300200-017,3136,3189,4717,67.6%,費鴻泰,1402,中國國民黨,1,楊實秋,1383,無
信義區永春里,6300200-018,2845,2906,4237,68.6%,費鴻泰,1121,中國國民黨,1,楊實秋,1348,無
信義區富台里,6300200-019,2398,2450,3683,66.5%,費鴻泰,1336,中國國民黨,1,楊實秋,736,無
信義區國業里,6300200-020,4101,4176,6170,67.7%,費鴻泰,1838,中國國民黨,1,楊實秋,1727,無
信義區松隆里,6300200-021,1241,1265,1990,63.6%,費鴻泰,558,中國國民黨,1,楊實秋,510,無
信義區松友里,6300200-022,3729,3797,5674,66.9%,費鴻泰,1724,中國國民黨,1,楊實秋,1504,無
信義區松光里,6300200-023,2873,2919,4312,67.7%,費鴻泰,1184,中國國民黨,1,楊實秋,1357,無
信義區中坡里,6300200-024,2651,2685,3893,69.0%,費鴻泰,1143,中國國民黨,1,楊實秋,1169,無
信義區中行里,6300200-025,4649,4728,6907,68.5%,費鴻泰,1843,中國國民黨,1,楊實秋,2099,無
信義區大道里,6300200-026,3740,3793,5374,70.6%,費鴻泰,1527,中國國民黨,1,楊實秋,1741,無
信義區大仁里,6300200-027,2411,2455,3554,69.1%,費鴻泰,1063,中國國民黨,1,楊實秋,1047,無
信義區景新里,6300200-028,2882,2937,4334,67.8%,費鴻泰,1414,中國國民黨,1,楊實秋,1123,無
信義區惠安里,6300200-029,3791,3876,5702,68.0%,費鴻泰,2000,中國國民黨,1,楊實秋,1370,無
信義區三張里,6300200-030,5162,5274,7704,68.5%,費鴻泰,2568,中國國民黨,1,楊實秋,2031,無
信義區三犁里,6300200-031,2964,3015,4512,66.8%,費鴻泰,1472,中國國民黨,1,楊實秋,1174,無
信義區六合里,6300200-032,3827,3888,5896,65.9%,費鴻泰,2057,中國國民黨,1,楊實秋,1316,無
信義區泰和里,6300200-033,4330,4403,6763,65.1%,費鴻泰,2062,中國國民黨,1,楊實秋,1735,無
信義區景聯里,6300200-034,2753,2822,4005,70.5%,費鴻泰,1286,中國國民黨,1,楊實秋,1153,無
信義區景勤里,6300200-035,2363,2416,3552,68.0%,費鴻泰,1157,中國國民黨,1,楊實秋,966,無
信義區雙和里,6300200-036,4233,4285,6099,70.3%,費鴻泰,2106,中國國民黨,1,楊實秋,1690,無
信義區嘉興里,6300200-037,1861,1899,2822,67.3%,費鴻泰,771,中國國民黨,1,楊實秋,856,無
信義區黎順里,6300200-038,2343,2403,3656,65.7%,費鴻泰,1109,中國國民黨,1,楊實秋,934,無
信義區黎平里,6300200-039,4085,4160,6106,68.1%,費鴻泰,1904,中國國民黨,1,楊實秋,1678,無
信義區黎忠里,6300200-040,2845,2895,4195,69.0%,費鴻泰,1365,中國國民黨,1,楊實秋,1127,無
信義區黎安里,6300200-041,1264,1292,1917,67.4%,費鴻泰,814,中國國民黨,1,楊實秋,326,無
大安區德安里,6300300-001,2957,3023,4735,63.8%,蔣乃辛,1388,中國國民黨,1,范雲,1008,綠黨社會民主黨聯盟
大安區仁慈里,6300300-002,2886,2941,4207,69.9%,蔣乃辛,1177,中國國民黨,1,范雲,1161,綠黨社會民主黨聯盟
大安區和安里,6300300-003,3610,3690,5470,67.5%,蔣乃辛,1766,中國國民黨,1,范雲,1214,綠黨社會民主黨聯盟
大安區民炤里,6300300-004,4309,4384,6646,66.0%,蔣乃辛,1805,中國國民黨,1,范雲,1748,綠黨社會民主黨聯盟
大安區仁愛里,6300300-005,2706,2763,4486,61.6%,蔣乃辛,1238,中國國民黨,1,范雲,1008,綠黨社會民主黨聯盟
大安區義村里,6300300-006,3356,3436,5199,66.1%,蔣乃辛,1851,中國國民黨,1,范雲,901,綠黨社會民主黨聯盟
大安區民輝里,6300300-007,3735,3837,5805,66.1%,蔣乃辛,1572,中國國民黨,1,范雲,1521,綠黨社會民主黨聯盟
大安區昌隆里,6300300-008,1742,1782,2692,66.2%,蔣乃辛,765,中國國民黨,1,范雲,705,綠黨社會民主黨聯盟
大安區誠安里,6300300-009,2352,2398,3635,66.0%,蔣乃辛,1040,中國國民黨,1,范雲,905,綠黨社會民主黨聯盟
大安區光武里,6300300-010,4033,4139,6466,64.0%,蔣乃辛,1790,中國國民黨,1,范雲,1480,綠黨社會民主黨聯盟
大安區龍坡里,6300300-011,3176,3229,4682,69.0%,蔣乃辛,1409,中國國民黨,1,范雲,1139,綠黨社會民主黨聯盟
大安區龍泉里,6300300-012,2621,2662,3899,68.3%,蔣乃辛,1014,中國國民黨,1,范雲,947,綠黨社會民主黨聯盟
大安區古風里,6300300-013,2369,2418,3510,68.9%,蔣乃辛,1026,中國國民黨,1,范雲,842,綠黨社會民主黨聯盟
大安區古莊里,6300300-014,3826,3896,5801,67.2%,蔣乃辛,1647,中國國民黨,1,范雲,1351,綠黨社會民主黨聯盟
大安區龍安里,6300300-015,3441,3521,6485,54.3%,蔣乃辛,1519,中國國民黨,1,范雲,1305,綠黨社會民主黨聯盟
大安區錦安里,6300300-016,3126,3166,4721,67.1%,蔣乃辛,1440,中國國民黨,1,范雲,1143,綠黨社會民主黨聯盟
大安區福住里,6300300-017,3265,3340,4942,67.6%,蔣乃辛,1499,中國國民黨,1,范雲,1175,綠黨社會民主黨聯盟
大安區永康里,6300300-018,1966,2001,2988,67.0%,蔣乃辛,926,中國國民黨,1,范雲,691,綠黨社會民主黨聯盟
大安區光明里,6300300-019,1853,1896,2764,68.6%,蔣乃辛,794,中國國民黨,1,范雲,662,綠黨社會民主黨聯盟
大安區錦泰里,6300300-020,1859,1894,2787,68.0%,蔣乃辛,900,中國國民黨,1,范雲,618,綠黨社會民主黨聯盟
大安區錦華里,6300300-021,3046,3100,4396,70.5%,蔣乃辛,1436,中國國民黨,1,范雲,1015,綠黨社會民主黨聯盟
大安區龍圖里,6300300-022,3695,3764,5680,66.3%,蔣乃辛,1717,中國國民黨,1,范雲,1263,綠黨社會民主黨聯盟
大安區新龍里,6300300-023,3709,3780,5486,68.9%,蔣乃辛,1978,中國國民黨,1,范雲,968,綠黨社會民主黨聯盟
大安區龍陣里,6300300-026,2048,2085,3054,68.3%,蔣乃辛,919,中國國民黨,1,范雲,741,綠黨社會民主黨聯盟
大安區龍雲里,6300300-027,2692,2749,4104,67.0%,蔣乃辛,1209,中國國民黨,1,范雲,985,綠黨社會民主黨聯盟
大安區龍生里,6300300-028,3596,3674,5352,68.6%,蔣乃辛,1663,中國國民黨,1,范雲,1197,綠黨社會民主黨聯盟
大安區住安里,6300300-029,2793,2855,4456,64.1%,蔣乃辛,1309,中國國民黨,1,范雲,936,綠黨社會民主黨聯盟
大安區義安里,6300300-030,2857,2905,4520,64.3%,蔣乃辛,1424,中國國民黨,1,范雲,952,綠黨社會民主黨聯盟
大安區通化里,6300300-031,3484,3556,5265,67.5%,蔣乃辛,1426,中國國民黨,1,范雲,1393,綠黨社會民主黨聯盟
大安區通安里,6300300-032,3212,3287,4784,68.7%,蔣乃辛,1409,中國國民黨,1,范雲,1224,綠黨社會民主黨聯盟
大安區臨江里,6300300-033,2417,2463,3561,69.2%,蔣乃辛,1174,中國國民黨,1,范雲,821,綠黨社會民主黨聯盟
大安區法治里,6300300-034,2487,2532,3819,66.3%,蔣乃辛,1263,中國國民黨,1,范雲,834,綠黨社會民主黨聯盟
大安區全安里,6300300-035,2407,2455,3754,65.4%,蔣乃辛,1139,中國國民黨,1,范雲,865,綠黨社會民主黨聯盟
大安區群賢里,6300300-036,3309,3372,5060,66.6%,蔣乃辛,1702,中國國民黨,1,范雲,1070,綠黨社會民主黨聯盟
大安區群英里,6300300-037,4080,4141,6038,68.6%,蔣乃辛,2434,中國國民黨,1,范雲,959,綠黨社會民主黨聯盟
大安區虎嘯里,6300300-038,2114,2161,3222,67.1%,蔣乃辛,971,中國國民黨,1,范雲,725,綠黨社會民主黨聯盟
大安區臥龍里,6300300-039,1075,1088,1589,68.5%,蔣乃辛,564,中國國民黨,1,范雲,330,綠黨社會民主黨聯盟
大安區龍淵里,6300300-040,5073,5160,7343,70.3%,蔣乃辛,2309,中國國民黨,1,范雲,1836,綠黨社會民主黨聯盟
大安區龍門里,6300300-041,2363,2398,3465,69.2%,蔣乃辛,983,中國國民黨,1,范雲,946,綠黨社會民主黨聯盟
大安區大學里,6300300-043,4754,4852,7004,69.3%,蔣乃辛,1959,中國國民黨,1,范雲,1757,綠黨社會民主黨聯盟
大安區芳和里,6300300-044,3240,3294,4967,66.3%,蔣乃辛,1551,中國國民黨,1,范雲,1128,綠黨社會民主黨聯盟
大安區黎元里,6300300-046,3103,3174,4696,67.6%,蔣乃辛,1372,中國國民黨,1,范雲,1109,綠黨社會民主黨聯盟
大安區黎孝里,6300300-047,4534,4608,6595,69.9%,蔣乃辛,2159,中國國民黨,1,范雲,1592,綠黨社會民主黨聯盟
大安區黎和里,6300300-048,2771,2846,4178,68.1%,蔣乃辛,1362,中國國民黨,1,范雲,909,綠黨社會民主黨聯盟
大安區建安里,6300300-049,2611,2668,4166,64.0%,蔣乃辛,1263,中國國民黨,1,范雲,923,綠黨社會民主黨聯盟
大安區建倫里,6300300-050,3228,3304,5174,63.9%,蔣乃辛,1507,中國國民黨,1,范雲,1192,綠黨社會民主黨聯盟
大安區敦安里,6300300-051,3245,3322,5141,64.6%,蔣乃辛,1368,中國國民黨,1,范雲,1268,綠黨社會民主黨聯盟
大安區正聲里,6300300-052,2576,2638,4027,65.5%,蔣乃辛,1203,中國國民黨,1,范雲,914,綠黨社會民主黨聯盟
大安區敦煌里,6300300-053,3302,3375,4978,67.8%,蔣乃辛,1456,中國國民黨,1,范雲,1256,綠黨社會民主黨聯盟
大安區華聲里,6300300-054,2335,2381,3589,66.3%,蔣乃辛,1060,中國國民黨,1,范雲,817,綠黨社會民主黨聯盟
大安區車層里,6300300-055,3402,3465,5319,65.1%,蔣乃辛,1452,中國國民黨,1,范雲,1350,綠黨社會民主黨聯盟
大安區光信里,6300300-056,4254,4346,6436,67.5%,蔣乃辛,1857,中國國民黨,1,范雲,1531,綠黨社會民主黨聯盟
大安區學府里,6300300-057,1560,1594,2383,66.9%,蔣乃辛,851,中國國民黨,1,范雲,436,綠黨社會民主黨聯盟
中山區正守里,6300400-001,1828,1864,2749,67.8%,蔣萬安,778,中國國民黨,1,潘建志,768,無
中山區正義里,6300400-002,2670,2725,4482,60.8%,蔣萬安,1196,中國國民黨,1,潘建志,993,無
中山區正得里,6300400-003,1999,2044,3250,62.9%,蔣萬安,928,中國國民黨,1,潘建志,781,無
中山區民安里,6300400-004,2635,2689,4000,67.2%,蔣萬安,1013,中國國民黨,1,潘建志,1195,無
中山區康樂里,6300400-005,1403,1419,2346,60.5%,蔣萬安,647,中國國民黨,1,潘建志,516,無
中山區中山里,6300400-006,3385,3454,5570,62.0%,蔣萬安,1411,中國國民黨,1,潘建志,1333,無
中山區聚盛里,6300400-007,2214,2266,3612,62.7%,蔣萬安,1014,中國國民黨,1,潘建志,812,無
中山區集英里,6300400-008,3856,3950,5847,67.6%,蔣萬安,1432,中國國民黨,1,潘建志,1721,無
中山區聚葉里,6300400-009,2111,2151,3367,63.9%,蔣萬安,872,中國國民黨,1,潘建志,889,無
中山區恆安里,6300400-010,2471,2527,4070,62.1%,蔣萬安,1100,中國國民黨,1,潘建志,971,無
中山區晴光里,6300400-011,2773,2838,4557,62.3%,蔣萬安,1254,中國國民黨,1,潘建志,1075,無
中山區圓山里,6300400-012,2320,2366,3625,65.3%,蔣萬安,964,中國國民黨,1,潘建志,972,無
中山區劍潭里,6300400-013,2138,2185,3161,69.1%,蔣萬安,1600,中國國民黨,1,潘建志,336,無
中山區大直里,6300400-014,5424,5536,7748,71.5%,蔣萬安,2669,中國國民黨,1,潘建志,1951,無
中山區成功里,6300400-015,3406,3470,5221,66.5%,蔣萬安,1547,中國國民黨,1,潘建志,1286,無
中山區永安里,6300400-016,5205,5286,7611,69.5%,蔣萬安,2401,中國國民黨,1,潘建志,1999,無
中山區大佳里,6300400-017,617,629,921,68.3%,蔣萬安,190,中國國民黨,1,潘建志,334,無
中山區新喜里,6300400-018,3076,3128,4566,68.5%,蔣萬安,1206,中國國民黨,1,潘建志,1392,無
中山區新庄里,6300400-019,2892,2947,4310,68.4%,蔣萬安,1153,中國國民黨,1,潘建志,1289,無
中山區新福里,6300400-020,2897,2969,4339,68.4%,蔣萬安,1032,中國國民黨,1,潘建志,1445,無
中山區松江里,6300400-021,3834,3895,5574,69.9%,蔣萬安,1542,中國國民黨,1,潘建志,1760,無
中山區新生里,6300400-022,2901,2954,4263,69.3%,蔣萬安,1110,中國國民黨,1,潘建志,1375,無
中山區中庄里,6300400-023,2987,3042,4439,68.5%,蔣萬安,1163,中國國民黨,1,潘建志,1305,無
中山區行政里,6300400-024,3428,3483,6719,51.8%,蔣萬安,1486,中國國民黨,1,潘建志,1434,無
中山區行仁里,6300400-025,4724,4807,6971,69.0%,蔣萬安,1836,中國國民黨,1,潘建志,2212,無
中山區行孝里,6300400-026,2317,2349,3504,67.0%,蔣萬安,887,中國國民黨,1,潘建志,1064,無
中山區下埤里,6300400-027,4490,4582,6512,70.4%,蔣萬安,1809,中國國民黨,1,潘建志,1995,無
中山區江寧里,6300400-028,3947,4025,5852,68.8%,蔣萬安,1764,中國國民黨,1,潘建志,1613,無
中山區江山里,6300400-029,4419,4486,6449,69.6%,蔣萬安,1739,中國國民黨,1,潘建志,2039,無
中山區中吉里,6300400-030,3172,3238,4632,69.9%,蔣萬安,1164,中國國民黨,1,潘建志,1513,無
中山區中原里,6300400-031,2933,2974,4294,69.3%,蔣萬安,1164,中國國民黨,1,潘建志,1327,無
中山區興亞里,6300400-032,3042,3098,4552,68.1%,蔣萬安,1286,中國國民黨,1,潘建志,1276,無
中山區中央里,6300400-033,6976,7077,10297,68.7%,蔣萬安,889,中國國民黨,1,潘建志,826,無
中山區朱馥里,6300400-034,3283,3335,5018,66.5%,蔣萬安,1492,中國國民黨,1,潘建志,1264,無
中山區龍洲里,6300400-035,3027,3094,4360,71.0%,蔣萬安,2020,中國國民黨,1,潘建志,685,無
中山區朱園里,6300400-036,2488,2549,3922,65.0%,蔣萬安,978,中國國民黨,1,潘建志,1064,無
中山區埤頭里,6300400-037,1968,2022,2948,68.6%,蔣萬安,884,中國國民黨,1,潘建志,786,無
中山區朱崙里,6300400-038,1601,1636,2446,66.9%,蔣萬安,701,中國國民黨,1,潘建志,630,無
中山區力行里,6300400-039,3357,3437,5128,67.0%,蔣萬安,1370,中國國民黨,1,潘建志,1444,無
中山區復華里,6300400-040,2609,2645,3917,67.5%,蔣萬安,1354,中國國民黨,1,潘建志,919,無
中山區金泰里,6300400-041,3874,3942,5871,67.1%,蔣萬安,1887,中國國民黨,1,潘建志,1363,無
中山區北安里,6300400-042,1524,1556,2268,68.6%,蔣萬安,873,中國國民黨,1,潘建志,439,無
中正區水源里,6300500-001,1632,1674,2588,64.7%,賴士葆,717,中國國民黨,1,李慶元,663,無
中正區富水里,6300500-002,1324,1357,2085,65.1%,賴士葆,776,中國國民黨,1,李慶元,344,無
中正區文盛里,6300500-003,1538,1567,2233,70.2%,賴士葆,700,中國國民黨,1,李慶元,597,無
中正區林興里,6300500-004,2489,2547,3893,65.4%,賴士葆,1285,中國國民黨,1,李慶元,856,無
中正區河堤里,6300500-005,2709,2754,4022,68.5%,賴士葆,1358,中國國民黨,1,李慶元,931,無
中正區頂東里,6300500-006,3615,3683,5306,69.4%,賴士葆,1708,中國國民黨,1,李慶元,1337,無
中正區網溪里,6300500-007,3378,3444,4993,69.0%,賴士葆,1647,中國國民黨,1,李慶元,1204,無
中正區板溪里,6300500-008,1961,2006,2929,68.5%,賴士葆,917,中國國民黨,1,李慶元,765,無
中正區螢圃里,6300500-009,3178,3250,4730,68.7%,賴士葆,1566,中國國民黨,1,李慶元,1161,無
中正區螢雪里,6300500-010,2659,2733,3870,70.6%,賴士葆,1250,中國國民黨,1,李慶元,954,無
中正區永功里,6300500-011,3491,3574,5192,68.8%,林昶佐,1782,時代力量,267,林郁方,1552,中國國民黨
中正區永昌里,6300500-012,3063,3111,4412,70.5%,林昶佐,1462,時代力量,267,林郁方,1446,中國國民黨
中正區龍興里,6300500-013,2107,2141,3134,68.3%,林昶佐,1022,時代力量,267,林郁方,990,中國國民黨
中正區忠勤里,6300500-014,3754,3836,5805,66.1%,林昶佐,1665,時代力量,267,林郁方,1880,中國國民黨
中正區廈安里,6300500-015,2210,2253,3364,67.0%,林昶佐,1093,時代力量,267,林郁方,1001,中國國民黨
中正區愛國里,6300500-016,1763,1799,2585,69.6%,林昶佐,852,時代力量,267,林郁方,842,中國國民黨
中正區南門里,6300500-017,1566,1595,2180,73.2%,林昶佐,608,時代力量,267,林郁方,884,中國國民黨
中正區龍光里,6300500-018,1846,1887,2716,69.5%,林昶佐,806,時代力量,267,林郁方,956,中國國民黨
中正區南福里,6300500-019,5484,5588,8040,69.5%,林昶佐,2499,時代力量,267,林郁方,2709,中國國民黨
中正區龍福里,6300500-020,3320,3391,5869,57.8%,林昶佐,1518,時代力量,267,林郁方,1636,中國國民黨
中正區新營里,6300500-021,4737,4801,6882,69.8%,林昶佐,1881,時代力量,267,林郁方,2624,中國國民黨
中正區建國里,6300500-022,771,786,1170,67.2%,林昶佐,330,時代力量,267,林郁方,402,中國國民黨
中正區光復里,6300500-023,1979,2008,3081,65.2%,林昶佐,943,時代力量,267,林郁方,942,中國國民黨
中正區黎明里,6300500-024,1624,1656,2667,62.1%,林昶佐,682,時代力量,267,林郁方,862,中國國民黨
中正區梅花里,6300500-025,1818,1851,2786,66.4%,林昶佐,881,時代力量,267,林郁方,850,中國國民黨
中正區幸福里,6300500-026,2484,2536,3781,67.1%,林昶佐,1163,時代力量,267,林郁方,1214,中國國民黨
中正區幸市里,6300500-027,2671,2717,3866,70.3%,林昶佐,1302,時代力量,267,林郁方,1271,中國國民黨
中正區東門里,6300500-028,2221,2266,3364,67.4%,林昶佐,893,時代力量,267,林郁方,1216,中國國民黨
中正區文北里,6300500-029,3040,3095,4572,67.7%,林昶佐,1439,時代力量,267,林郁方,1443,中國國民黨
中正區文祥里,6300500-030,4198,4265,6124,69.6%,林昶佐,1957,時代力量,267,林郁方,2037,中國國民黨
中正區三愛里,6300500-031,4623,4723,6950,68.0%,林昶佐,2165,時代力量,267,林郁方,2201,中國國民黨
大同區玉泉里,6300600-001,1692,1743,2535,68.8%,姚文智,981,民主進步黨,16,潘懷宗,637,新黨
大同區建明里,6300600-002,1940,2014,2951,68.2%,姚文智,1190,民主進步黨,16,潘懷宗,656,新黨
大同區建功里,6300600-003,2590,2664,3934,67.7%,姚文智,1557,民主進步黨,16,潘懷宗,899,新黨
大同區建泰里,6300600-004,2136,2209,3137,70.4%,姚文智,1341,民主進步黨,16,潘懷宗,713,新黨
大同區永樂里,6300600-005,3065,3154,4554,69.3%,姚文智,1935,民主進步黨,16,潘懷宗,1016,新黨
大同區朝陽里,6300600-006,2558,2634,3819,69.0%,姚文智,1554,民主進步黨,16,潘懷宗,880,新黨
大同區星明里,6300600-007,3281,3354,4898,68.5%,姚文智,1915,民主進步黨,16,潘懷宗,1214,新黨
大同區光能里,6300600-008,3031,3085,4243,72.7%,姚文智,1880,民主進步黨,16,潘懷宗,1022,新黨
大同區大有里,6300600-009,2891,2948,4151,71.0%,姚文智,1847,民主進步黨,16,潘懷宗,931,新黨
大同區延平里,6300600-010,2386,2447,3555,68.8%,姚文智,1370,民主進步黨,16,潘懷宗,918,新黨
大同區雙連里,6300600-011,5297,5385,7871,68.4%,姚文智,3284,民主進步黨,16,潘懷宗,1811,新黨
大同區南芳里,6300600-012,2242,2304,3367,68.4%,姚文智,1323,民主進步黨,16,潘懷宗,833,新黨
大同區民權里,6300600-013,3600,3685,5363,68.7%,姚文智,2116,民主進步黨,16,潘懷宗,1304,新黨
大同區景星里,6300600-014,1579,1614,2412,66.9%,姚文智,986,民主進步黨,16,潘懷宗,539,新黨
大同區隆和里,6300600-015,1770,1814,2584,70.2%,姚文智,1121,民主進步黨,16,潘懷宗,571,新黨
大同區蓬萊里,6300600-016,2839,2911,4203,69.3%,姚文智,1699,民主進步黨,16,潘懷宗,993,新黨
大同區國順里,6300600-017,1768,1808,2567,70.4%,姚文智,1189,民主進步黨,16,潘懷宗,509,新黨
大同區國慶里,6300600-018,2605,2670,3747,71.3%,姚文智,1590,民主進步黨,16,潘懷宗,936,新黨
大同區揚雅里,6300600-019,2144,2191,3793,57.8%,姚文智,1375,民主進步黨,16,潘懷宗,678,新黨
大同區斯文里,6300600-020,3089,3160,4624,68.3%,姚文智,1954,民主進步黨,16,潘懷宗,998,新黨
大同區鄰江里,6300600-021,3967,4035,5604,72.0%,姚文智,2515,民主進步黨,16,潘懷宗,1320,新黨
大同區至聖里,6300600-022,4747,4836,6863,70.5%,姚文智,2811,民主進步黨,16,潘懷宗,1731,新黨
大同區老師里,6300600-024,3539,3600,5061,71.1%,姚文智,2288,民主進步黨,16,潘懷宗,1129,新黨
大同區重慶里,6300600-025,3856,3967,5589,71.0%,姚文智,2162,民主進步黨,16,潘懷宗,1525,新黨
大同區保安里,6300600-026,2499,2548,3558,71.6%,姚文智,1572,民主進步黨,16,潘懷宗,829,新黨
萬華區福星里,6300700-001,2984,3039,4715,64.5%,林昶佐,1378,時代力量,267,林郁方,1471,中國國民黨
萬華區萬壽里,6300700-002,1790,1825,2995,60.9%,林昶佐,860,時代力量,267,林郁方,850,中國國民黨
萬華區西門里,6300700-003,2040,2079,3310,62.8%,林昶佐,968,時代力量,267,林郁方,949,中國國民黨
萬華區新起里,6300700-004,3722,3807,5645,67.4%,林昶佐,2013,時代力量,267,林郁方,1548,中國國民黨
萬華區菜園里,6300700-005,3556,3616,5271,68.6%,林昶佐,2013,時代力量,267,林郁方,1364,中國國民黨
萬華區青山里,6300700-006,3327,3403,5077,67.0%,林昶佐,1859,時代力量,267,林郁方,1319,中國國民黨
